No,Penggunaan Lahan,Kerapatan Sungai,Jenis Tanah,Jarak dari Sungai,Curah Hujan,Kemiringan Lereng,Kelas Banjir,Kapanewon/Kemantren
9210,Padang Rumput,"0,62 - 1.44 km/km2",Vertisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Ponjong
9211,Padang Rumput,"0,62 - 1.44 km/km2",Vertisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Ponjong
9212,Padang Rumput,"0,62 - 1.44 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Ponjong
9213,Padang Rumput,"1,44 - 2,27 km/km2",Vertisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Tinggi,Ponjong
9214,Padang Rumput,"1,44 - 2,27 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Ponjong
9215,Padang Rumput,"1,44 - 2,27 km/km2",Vertisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Ponjong
9216,Padang Rumput,"1,44 - 2,27 km/km2",Vertisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Ponjong
9217,Padang Rumput,"1,44 - 2,27 km/km2",Vertisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Ponjong
9218,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Vertisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Semanu
9219,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Vertisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Semanu
9220,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Semanu
9221,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Vertisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Semanu
9222,Tananman Campuran,"1,44 - 2,27 km/km2",Vertisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Semanu
